SNR,N,error,p
6.208333,12800000.000000,11571.000000,0.000904
6.243056,12800000.000000,11339.000000,0.000886
6.277778,12800000.000000,10434.000000,0.000815
6.312500,12800000.000000,10133.000000,0.000792
6.347222,12800000.000000,9404.000000,0.000735
6.381944,12800000.000000,9108.000000,0.000712
6.416667,12800000.000000,8322.000000,0.000650
6.451389,12800000.000000,8229.000000,0.000643
6.486111,12800000.000000,7739.000000,0.000605
6.520833,12800000.000000,7273.000000,0.000568
6.555556,12800000.000000,6894.000000,0.000539
6.590278,12800000.000000,6588.000000,0.000515
6.625000,12800000.000000,6244.000000,0.000488
6.659722,12800000.000000,5857.000000,0.000458
6.694444,12800000.000000,5443.000000,0.000425
6.729167,12800000.000000,5300.000000,0.000414
6.763889,12800000.000000,4901.000000,0.000383
6.798611,12800000.000000,4733.000000,0.000370
6.833333,12800000.000000,4378.000000,0.000342
6.868056,12800000.000000,3982.000000,0.000311
6.902778,12800000.000000,3940.000000,0.000308
6.937500,12800000.000000,3808.000000,0.000298
6.972222,12800000.000000,3448.000000,0.000269
7.006944,12800000.000000,3304.000000,0.000258
7.041667,12800000.000000,3144.000000,0.000246
7.076389,12800000.000000,2840.000000,0.000222
7.111111,12800000.000000,2742.000000,0.000214
7.145833,12800000.000000,2725.000000,0.000213
7.180556,12800000.000000,2363.000000,0.000185
7.215278,12800000.000000,2154.000000,0.000168
7.250000,12800000.000000,2099.000000,0.000164
7.284722,12800000.000000,1927.000000,0.000151
7.319444,12800000.000000,1757.000000,0.000137
7.354167,12800000.000000,1758.000000,0.000137
7.388889,12800000.000000,1617.000000,0.000126
7.423611,12800000.000000,1491.000000,0.000116
7.458333,12800000.000000,1375.000000,0.000107
7.493056,12800000.000000,1315.000000,0.000103
7.527778,12800000.000000,1229.000000,0.000096
7.562500,12800000.000000,1104.000000,0.000086
7.597222,12800000.000000,1056.000000,0.000082
7.701389,12800000.000000,902.000000,0.000070
7.736111,12800000.000000,877.000000,0.000069
7.770833,12800000.000000,820.000000,0.000064
7.805556,12800000.000000,680.000000,0.000053
7.840278,12800000.000000,669.000000,0.000052
7.909722,12800000.000000,638.000000,0.000050
7.944444,12800000.000000,514.000000,0.000040
7.979167,12800000.000000,483.000000,0.000038
8.013889,12800000.000000,477.000000,0.000037
8.048611,12800000.000000,399.000000,0.000031
8.083333,12800000.000000,383.000000,0.000030
8.187500,12800000.000000,334.000000,0.000026
8.256944,12800000.000000,259.000000,0.000020
8.291667,12800000.000000,249.000000,0.000019
8.361110999999999,12800000.000000000000000,937.000000000000000,0.000015642737896
8.399355768115941,12800000.000000000000000,872.000000000000000,0.000014557595993
8.475845304347825,12800000.000000000000000,768.000000000000000,0.000012821368948
8.552334840579709,12800000.000000000000000,632.000000000000000,0.000010550918197
8.590579608695652,59900000.000000000000000,578.000000000000000,0.000009649415693
8.619999999999999,12800000.000000000000000,893.000000000000000,0.000008938938939
8.660000000000000,12800000.000000000000000,597.000000000000000,0.000008540772532
8.707755102040817,12800000.000000000000000,454.000000000000000,0.000006494992847
8.800000000000001,12800000.000000000000000,368.000000000000000,0.000006143572621
8.844897959183674,12800000.000000000000000,297.000000000000000,0.000004958263773
8.934693877551021,12800000.000000000000000,228.000000000000000,0.000003806343907
9.011428571428572,12800000.000000000000000,256.000000000000000,0.000003204005006
9.052857142857144,12800000.000000000000000,237.000000000000000,0.000002966207760
9.094285714285714,12800000.000000000000000,182.000000000000000,0.000002277847309
9.135714285714286,12800000.000000000000000,166.000000000000000,0.000002077596996
9.177142857142858,12800000.000000000000000,132.000000000000000,0.000001652065081
